gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	TC
IGLC2	0	2.43792449901016	0.998	0.992	0	TC-1
IGHG3	0	2.36127190410301	0.999	0.999	0	TC-1
IGKC	0	2.28348784153487	1	1	0	TC-1
IGHG1	0	2.11815066290543	0.998	0.993	0	TC-1
IGHG4	0	1.69249722930164	1	0.999	0	TC-1
C3	0	1.56307457478973	0.988	0.921	0	TC-1
TIMP1	0	1.47388220529493	0.989	0.943	0	TC-1
IGFBP7	0	1.23747044512013	0.991	0.977	0	TC-1
COL6A2	0	1.19628323384161	0.993	0.935	0	TC-1
DCN	0	1.19464993987542	0.944	0.847	0	TC-1
C1QA	0	1.1833027726978	0.981	0.93	0	TC-1
SFRP2	0	1.1832372864782	0.958	0.881	0	TC-1
BGN	0	1.15467233517737	0.968	0.858	0	TC-1
AEBP1	0	1.15293158791824	0.985	0.927	0	TC-1
COL1A1	0	1.11341287265835	0.997	0.988	0	TC-1
COL1A2	0	1.07123283399828	0.998	0.988	0	TC-1
VIM	0	1.062858814834	0.994	0.974	0	TC-1
APOE	0	1.00973929294354	0.999	0.998	0	TC-1
C1S	0	1.00165386955088	0.892	0.749	0	TC-1
C1R	0	0.993532455112918	0.867	0.673	0	TC-1
A2M	0	0.965297676660504	0.957	0.903	0	TC-1
HLA-DPB1	0	0.961542796874182	0.968	0.933	0	TC-1
CYBA	0	0.947548553817172	0.959	0.913	0	TC-1
C1QB	0	0.946517748506278	0.97	0.935	0	TC-1
SERPING1	0	0.943252103206516	0.936	0.83	0	TC-1
COL6A1	0	0.938407135967199	0.953	0.88	0	TC-1
CD74	0	0.869474514847163	1	0.999	0	TC-1
GSTP1	0	0.860254031821894	0.862	0.697	0	TC-1
HLA-DRB5	0	0.857898077043286	0.982	0.953	0	TC-1
FLNA	0	0.847486597801031	0.956	0.89	0	TC-1
HLA-DRA	0	0.841871824476555	0.998	0.997	0	TC-1
LGALS1	0	0.773648515599822	0.993	0.975	0	TC-1
HLA-DRB1	0	0.773265414827869	0.992	0.984	0	TC-1
FTL	0	0.725795308302923	1	0.999	0	TC-1
HLA-E	0	0.702372989929777	0.998	0.987	0	TC-1
CTSD	0	0.693081352120146	0.999	0.997	0	TC-1
COX6A1	0	-0.520254151629408	0.987	0.987	0	TC-1
HSP90AA1	0	-0.534807133573621	0.999	0.998	0	TC-1
PPIA	0	-0.535092928255343	0.997	0.995	0	TC-1
YWHAZ	0	-0.560127439500382	0.992	0.99	0	TC-1
RPS26	0	-0.5646607304693	0.992	0.989	0	TC-1
HSP90AB1	0	-0.571368587229764	0.999	0.998	0	TC-1
PBX1	0	-0.597227642267544	0.997	0.996	0	TC-1
H3F3A	0	-0.632863074862606	0.996	0.993	0	TC-1
GATA3	0	-0.645895269873644	0.984	0.986	0	TC-1
HSPA1A	0	-0.647651193848764	0.967	0.979	0	TC-1
CD24	0	-0.671034931549169	0.985	0.986	0	TC-1
TCEAL4	0	-0.790559608707935	0.991	0.988	0	TC-1
XBP1	9.51764637261288e-306	-0.512377406385139	0.995	0.995	3.48355374884004e-301	TC-1
CCDC80	2.06459395848514e-304	1.01867500801906	0.818	0.553	7.55662034745145e-300	TC-1
SPINT2	1.36040687568869e-299	-0.600970798878106	0.97	0.977	4.97922520570818e-295	TC-1
PCBP2	4.11416472443052e-297	-0.52750033138796	0.986	0.986	1.50582543078882e-292	TC-1
LRP1	6.65914701000411e-297	0.920648916812726	0.832	0.633	2.4373143971316e-292	TC-1
LUM	1.62434851339166e-294	1.01045836937036	0.952	0.895	5.94527799386481e-290	TC-1
HSPG2	6.05876408192713e-294	0.889614186222694	0.899	0.784	2.21756824162615e-289	TC-1
EMILIN1	3.09723927605211e-293	0.869848234607289	0.837	0.62	1.13362054742783e-288	TC-1
SERPINF1	1.29799048760146e-290	0.916383308702295	0.868	0.744	4.75077498367009e-286	TC-1
MORF4L2	5.4588149747079e-285	-0.645928756604564	0.973	0.979	1.99798086889284e-280	TC-1
COX7C	6.21336730646745e-283	-0.523526186131742	0.981	0.981	2.27415456784015e-278	TC-1
HSBP1	7.14999771729439e-283	-0.581363110184217	0.936	0.968	2.61697066450692e-278	TC-1
SPARC	6.40167711382054e-279	0.773738022821854	0.994	0.987	2.34307784042946e-274	TC-1
HLA-DPA1	1.10348270336802e-278	0.893859258100887	0.957	0.911	4.03885704259728e-274	TC-1
TYMP	2.26107326055212e-277	0.650839570957977	0.994	0.976	8.27575424094683e-273	TC-1
IGHM	3.67569080626979e-276	1.89440838832752	0.926	0.87	1.34533959200281e-271	TC-1
LAPTM5	1.46971814413349e-273	0.779080517575529	0.936	0.886	5.37931537934299e-269	TC-1
CD9	3.1107642792364e-272	-0.56245057687577	0.965	0.979	1.13857083384331e-267	TC-1
IGLC3	2.60090692028914e-267	2.01535394336233	0.835	0.666	9.51957941895029e-263	TC-1
ATP5MPL	2.3748764778963e-264	-0.510563925752934	0.973	0.979	8.69228539674826e-260	TC-1
COX6C	1.28323652927434e-263	-0.971816565881833	1	1	4.696774020797e-259	TC-1
NPM1	2.48636072889499e-261	-0.549539310797614	0.953	0.972	9.10032890382856e-257	TC-1
FBLN1	1.3241866815691e-254	0.897462574855744	0.837	0.705	4.84665567321105e-250	TC-1
IGHA1	1.68489678530564e-254	1.75085753291043	0.963	0.942	6.16689072389716e-250	TC-1
ENG	3.60332422338564e-247	0.809807623097273	0.85	0.703	1.31885269900138e-242	TC-1
COL18A1	1.15926462386934e-244	0.825759930119282	0.895	0.796	4.24302444982419e-240	TC-1
TXN	1.67837820800128e-243	-0.56528469497711	0.945	0.971	6.14303207910549e-239	TC-1
UQCRB	3.68727237759954e-241	-0.508259404655222	0.962	0.971	1.34957856292521e-236	TC-1
FXYD5	3.8717906400872e-241	0.751531182715627	0.798	0.628	1.41711409217831e-236	TC-1
TXNIP	4.60469811997796e-241	0.76643501600934	0.9	0.855	1.68536555889313e-236	TC-1
MYL9	4.76364720910309e-241	0.849147483624567	0.91	0.836	1.74354251500382e-236	TC-1
SNRPE	2.74215821559866e-238	-0.567567949812312	0.899	0.953	1.00365732849126e-233	TC-1
FOXA1	6.00725547133864e-237	-0.576299117932303	0.81	0.941	2.19871557506466e-232	TC-1
